Description,Revenue,Quantity,Orders,UniqueCustomers
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1
REGENCY CAKESTAND 3 TIER,142592.94999999998,12402,1703,881
WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001,36725,1971,856
JUMBO BAG RED RETROSPOT,85220.78,46181,1600,635
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195,138
POSTAGE,77803.96,3120,1099,331
PARTY BUNTING,68844.33,15291,1379,708
ASSORTED COLOUR BIRD ORNAMENT,56580.34,35362,1375,678
Manual,53779.93,7173,253,197
RABBIT NIGHT LIGHT,51346.2,27202,801,450
CHILLI LIGHTS,46286.51,9650,519,205
PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83,15617,980,613
PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,1
BLACK RECORD COVER FRAME,39064.55,11406,313,140
JUMBO BAG PINK POLKADOT,37289.590000000004,20165,871,372
DOORMAT KEEP CALM AND COME IN,35913.85,5342,648,378
SPOTTY BUNTING,35539.25,7639,1003,571
WOOD BLACK BOARD ANT WHITE FINISH,34478.01,5921,604,285
SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8,7020,1146,640
JAM MAKING SET WITH JARS,32662.97,8151,878,573
JUMBO BAG STRAWBERRY,30644.2,16807,654,315
VICTORIAN GLASS HANGING T-LIGHT,28776.51,22433,815,403
HEART OF WICKER LARGE,28520.95,9591,801,485
HEART OF WICKER SMALL,28228.64,16775,961,573
LUNCH BAG RED RETROSPOT,28048.45,17697,1288,532
SET OF 3 REGENCY CAKE TINS,26625.68,5856,718,472
JUMBO BAG APPLES,26451.260000000002,13887,718,344
ALARM CLOCK BAKELIKE RED ,25925.2,7221,877,388
PAPER CHAIN KIT VINTAGE CHRISTMAS,25669.27,9433,697,470
DOORMAT RED RETROSPOT,25397.85,3901,576,329
GIN + TONIC DIET METAL SIGN,24988.98,11519,655,330
ROSES REGENCY TEACUP AND SAUCER ,24865.600000000002,9132,783,423
SPACEBOY LUNCH BOX ,24694.59,13919,704,322
HOT WATER BOTTLE KEEP CALM,24426.3,5338,719,474
NATURAL SLATE HEART CHALKBOARD ,24245.520000000004,8480,967,587
JUMBO BAG ALPHABET,24175.0,12540,752,396
PLEASE ONE PERSON METAL SIGN,23930.920000000002,11963,694,361
RED  HARMONICA IN BOX ,23793.93,20975,561,349
DOORMAT UNION FLAG,23697.99,3625,516,313
JUMBO  BAG BAROQUE BLACK WHITE,23675.04,12793,649,306
CHOCOLATE HOT WATER BOTTLE,23624.24,5160,700,382
POPCORN HOLDER,23427.71,30931,632,295
REGENCY TEAPOT ROSES ,23073.32,2666,354,248
BAKING SET 9 PIECE RETROSPOT ,23007.55,4797,854,581
DOORMAT NEW ENGLAND,22968.25,3721,531,314
CREAM HEART CARD HOLDER,22715.57,8195,452,274
VINTAGE UNION JACK MEMOBOARD,22709.13,3255,205,139
RED HANGING HEART T-LIGHT HOLDER,22624.690000000002,7759,679,385
ROUND SNACK BOXES SET OF4 WOODLAND ,22175.52,8100,595,281
SET OF TEA COFFEE SUGAR TINS PANTRY,22133.829999999998,4663,385,275
JUMBO STORAGE BAG SUKI,21790.95,11516,774,333
DOORMAT FAIRY CAKE,21187.69,3429,241,143
JAM MAKING SET PRINTED,21170.75,15055,868,537
JUMBO BAG VINTAGE LEAF,20963.93,10716,772,377
VINTAGE UNION JACK BUNTING,20962.16,2540,391,267
ALARM CLOCK BAKELIKE GREEN,20880.4,5641,789,322
RECIPE BOX PANTRY YELLOW DESIGN,20859.27,7373,828,471
EDWARDIAN PARASOL NATURAL,20696.71,3826,378,184
JUMBO BAG VINTAGE DOILY ,20674.68,10636,621,363
CREAM SWEETHEART MINI CHEST,20562.92,1705,445,289
SET OF 6 SPICE TINS PANTRY DESIGN,20530.0,5372,653,393
RETROSPOT TEA SET CERAMIC 11 PC ,20470.78,4248,823,488
COOK WITH WINE METAL SIGN ,20315.33,10209,602,287
JUMBO SHOPPER VINTAGE RED PAISLEY,20174.23,10518,790,375
DOLLY GIRL LUNCH BOX,20129.44,11336,616,287
SCOTTIE DOG HOT WATER BOTTLE,20104.350000000002,4259,656,425
WOODEN PICTURE FRAME WHITE FINISH,20001.65,8276,876,410
DOORMAT HEARTS,19948.81,3271,480,286
RED TOADSTOOL LED NIGHT LIGHT,19844.91,12871,522,266
LUNCH BOX I LOVE LONDON,19353.22,11094,504,213
DOORMAT FANCY FONT HOME SWEET HOME,19157.02,3088,397,203
JUMBO BAG OWLS,19076.92,10466,411,207
PAPER BUNTING RETROSPOT,18791.890000000003,6879,567,325
ALARM CLOCK BAKELIKE PINK,18569.09,5074,613,291
JUMBO BAG PINK VINTAGE PAISLEY,18429.98,9889,602,308
LUNCH BAG APPLE DESIGN,18278.25,11565,866,401
LUNCH BAG  BLACK SKULL.,18024.55,11291,1052,458
RED RETROSPOT CAKE STAND,17929.75,1809,421,260
GREEN REGENCY TEACUP AND SAUCER,17806.34,6430,691,387
JUMBO BAG 50'S CHRISTMAS ,17679.72,8954,586,391
WOODEN FRAME ANTIQUE WHITE ,17625.070000000003,6282,811,392
ROUND SNACK BOXES SET OF 4 FRUITS ,17604.99,6481,458,227
ROTATING SILVER ANGELS T-LIGHT HLDR,17592.52,7907,305,192
GUMBALL COAT RACK,17580.350000000002,7688,570,262
HOMEMADE JAM SCENTED CANDLES,17521.6,12092,518,429
FAIRY CAKE FLANNEL ASSORTED COLOUR,17304.57,10082,192,160
LUNCH BAG CARS BLUE,17265.68,10820,966,479
GROW A FLYTRAP OR SUNFLOWER IN TIN,17226.2,15940,239,167
JUMBO BAG DOILEY PATTERNS,16741.260000000002,8737,454,299
COLOUR GLASS. STAR T-LIGHT HOLDER,16570.29,5655,221,145
SET/5 RED RETROSPOT LID GLASS BOWLS,16569.58,5882,763,356
PACK OF 72 RETROSPOT CAKE CASES,16394.53,33693,1029,635
LUNCH BAG PINK POLKADOT,16349.5,10254,931,444
HAND WARMER OWL DESIGN,16237.630000000001,8115,572,375
ASSORTED COLOURS SILK FAN,16044.44,21876,324,194
MINI PAINT SET VINTAGE ,16039.24,26076,325,213
LUNCH BAG SPACEBOY DESIGN ,15881.2,9912,988,490
RETROSPOT HEART HOT WATER BOTTLE,15871.73,3335,533,371
HOME BUILDING BLOCK WORD,15630.960000000001,2654,691,360
HAND OVER THE CHOCOLATE   SIGN ,15539.11,8164,590,270
JUMBO BAG WOODLAND ANIMALS,15511.6,8187,492,248
HOT WATER BOTTLE TEA AND SYMPATHY,15415.22,3736,514,325
LUNCH BAG SUKI DESIGN ,15384.05,9601,899,399
JUMBO BAG SPACEBOY DESIGN,15331.02,8236,477,247
EDWARDIAN PARASOL BLACK,15218.67,2779,291,142
ANTIQUE SILVER T-LIGHT GLASS,15206.42,12973,534,348
6 RIBBONS RUSTIC CHARM,14988.59,8605,726,413
IVORY KITCHEN SCALES,14788.33,1783,620,376
PINK REGENCY TEACUP AND SAUCER,14769.490000000002,5343,556,319
WOOD 2 DRAWER CABINET WHITE FINISH,14689.87,2341,509,241
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14632.970000000001,7757,451,232
LUNCH BAG WOODLAND,14537.11,9115,820,372
SET OF 4 PANTRY JELLY MOULDS,14180.17,11792,866,431
HOT WATER BOTTLE I AM SO POORLY,13847.28,2972,505,316
SMALL POPCORN HOLDER,13798.72,18252,403,228
CHILDRENS CUTLERY POLKADOT PINK,13796.6,3530,323,208
WORLD WAR 2 GLIDERS ASSTD DESIGNS,13586.249999999998,54415,472,307
DOORMAT ENGLISH ROSE ,13470.95,1975,356,227
PAPER CHAIN KIT EMPIRE,13435.150000000001,4893,374,277
RED WOOLLY HOTTIE WHITE HEART.,13430.51,3707,321,228
BREAD BIN DINER STYLE IVORY,13131.89,847,341,214
LOVE HOT WATER BOTTLE,13115.4,2352,449,316
JUMBO BAG PEARS,13043.24,6733,470,262
BOX OF VINTAGE ALPHABET BLOCKS,13035.66,1295,231,174
SET/4 WHITE RETRO STORAGE CUBES ,13007.150000000001,357,106,79
VINTAGE CHRISTMAS BUNTING,12994.77,2755,359,254
SET OF 10 LED DOLLY LIGHTS,12985.23,2194,351,271
HOT BATHS METAL SIGN,12832.140000000001,6415,385,206
HANGING HEART JAR T-LIGHT HOLDER,12674.72,10980,572,304
SET 7 BABUSHKA NESTING BOXES,12665.29,1654,297,188
CLOTHES PEGS RETROSPOT PACK 24 ,12545.38,8418,639,363
GARDENERS KNEELING PAD KEEP CALM ,12493.48,7740,756,405
MEMO BOARD RETROSPOT  DESIGN,12411.02,2786,348,230
3 HOOK PHOTO SHELF ANTIQUE WHITE,12294.38,1723,304,172
BLACK HEART CARD HOLDER,12261.9,4844,166,123
HAND WARMER SCOTTY DOG DESIGN,12248.76,6118,471,329
RED RETROSPOT MINI CASES,12216.8,1712,365,235
GREY HEART HOT WATER BOTTLE,12191.15,3156,511,337
PLASTERS IN TIN SPACEBOY,12151.8,7664,579,339
CHRISTMAS LIGHTS 10 REINDEER,12150.0,1572,253,205
ASSORTED COLOUR MINI CASES,12123.41,1719,365,239
DOORMAT SPOTTY HOME SWEET HOME,12095.67,1662,405,251
HAND WARMER BIRD DESIGN,12081.430000000002,6001,474,333
PAPER CHAIN KIT RETROSPOT,12043.210000000001,4307,444,294
LUNCH BAG ALPHABET DESIGN,12029.06,7554,647,377
RECYCLING BAG RETROSPOT ,11942.43,6088,407,187
DOTCOM POSTAGE,11906.36,16,16,1
RED KITCHEN SCALES,11895.73,1476,448,292
FELTCRAFT CUSHION OWL,11783.05,3284,417,244
FELTCRAFT DOLL MOLLY,11762.99,4469,293,211
PINK HAPPY BIRTHDAY BUNTING,11688.150000000001,2287,359,238
DOUGHNUT LIP GLOSS ,11640.7,9662,308,217
PLASTERS IN TIN WOODLAND ANIMALS,11637.43,7307,587,351
PACK OF 60 PINK PAISLEY CAKE CASES,11629.699999999999,24264,669,410
PINK BLUE FELT CRAFT TRINKET BOX,11629.39,10225,457,277
WOODEN ROUNDERS GARDEN SET ,11601.14,1269,303,224
IVORY DINER WALL CLOCK,11587.2,1426,391,239
REGENCY SUGAR BOWL GREEN,11575.54,2956,268,190
FELTCRAFT 6 FLOWER FRIENDS,11566.39,5890,461,337
DOORMAT WELCOME PUPPIES,11544.2,2028,252,163
LOVE BUILDING BLOCK WORD,11535.56,1946,555,337
ENAMEL FLOWER JUG CREAM,11444.93,1995,441,311
WOOD S/3 CABINET ANT WHITE FINISH,11394.9,1370,373,183
RED DINER WALL CLOCK,11074.39,1352,416,206
STRAWBERRY CERAMIC TRINKET BOX,10895.52,9328,507,296
JUMBO STORAGE BAG SKULLS,10890.79,5706,471,220
PICNIC BASKET WICKER LARGE,10818.9,1194,257,187
FELTCRAFT CUSHION RABBIT,10694.81,3018,324,202
METAL SIGN TAKE IT OR LEAVE IT ,10647.300000000001,3690,351,228
VINTAGE SNAP CARDS,10447.42,13336,722,449
TEA TIME PARTY BUNTING,10445.25,2291,313,192
RED RETROSPOT PICNIC BAG,10371.66,3758,385,223
LUNCH BAG VINTAGE DOILY ,10370.76,6452,538,319
LUNCH BAG DOLLY GIRL DESIGN,10360.69,6545,598,310
LUNCH BAG DOILEY PATTERN ,10331.3,6482,464,290
ALARM CLOCK BAKELIKE IVORY,10285.61,2728,468,241
PAPER BUNTING WHITE LACE,10264.050000000001,3779,257,155
RED RETROSPOT UMBRELLA,10247.470000000001,1846,303,210
WHITE SKULL HOT WATER BOTTLE ,10227.72,2702,378,252
BAKING SET SPACEBOY DESIGN,10210.89,2153,424,296
REGENCY TEA PLATE ROSES ,10190.789999999999,6575,328,224
CLASSIC METAL BIRDCAGE PLANT HOLDER,10161.41,928,260,179
SOLDIERS EGG CUP ,10150.22,8821,327,197
RED RETROSPOT CHARLOTTE BAG,10125.85,12809,739,335
BLUE HAPPY BIRTHDAY BUNTING,10107.52,1950,355,228
TRADITIONAL WOODEN SKIPPING ROPE,10019.47,7919,340,264
LUNCH BAG VINTAGE LEAF DESIGN,10006.45,6225,597,305
GARDENERS KNEELING PAD CUP OF TEA ,9963.39,6303,635,351
WOODEN UNION JACK BUNTING,9928.83,1734,296,217
CHILDRENS CUTLERY POLKADOT BLUE,9831.4,2524,211,150
DOORMAT BLACK FLOCK ,9822.2,1787,173,105
JUMBO BAG VINTAGE CHRISTMAS ,9748.34,4908,385,286
ICE CREAM SUNDAE LIP GLOSS,9668.16,7920,248,202
LONDON BUS COFFEE MUG,9666.300000000001,4246,276,180
SET/20 RED RETROSPOT PAPER NAPKINS ,9656.789999999999,12313,732,427
FELTCRAFT CUSHION BUTTERFLY,9655.48,2698,294,192
DOORMAT HOME SWEET HOME BLUE ,9635.89,1597,261,198
CHILDRENS CUTLERY RETROSPOT RED ,9603.68,2492,229,157
COLOUR GLASS T-LIGHT HOLDER HANGING,9597.710000000001,15611,529,318
BREAD BIN DINER STYLE RED ,9597.31,626,249,158
PLASTERS IN TIN CIRCUS PARADE ,9596.96,5952,521,305
NO SINGING METAL SIGN,9573.6,4636,384,207
WOODEN CROQUET GARDEN SET,9555.98,709,240,181
HAND WARMER UNION JACK,9550.560000000001,4746,441,300
DOORMAT WELCOME TO OUR HOME,9468.08,1378,338,231
PLASTERS IN TIN STRONGMAN,9462.289999999999,5885,449,294
SET/3 RED GINGHAM ROSE STORAGE BOX,9424.32,2704,319,186
15CM CHRISTMAS GLASS BALL 20 LIGHTS,9374.7,1266,214,170
PHOTO FRAME CORNICE,9365.78,3206,454,278
ANTIQUE SILVER TEA GLASS ENGRAVED,9339.34,8273,278,177
KNITTED UNION FLAG HOT WATER BOTTLE,9329.17,2469,319,211
TRADITIONAL MODELLING CLAY,9311.47,8014,336,229
